time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1751	1.37294	5.22977	0.249559	0.234619	radar	4.59815	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4037	1.45156	5.20987	0.269852	0.247201	lidar	1.23124	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6413	1.54942	5.18048	0.302238	0.282297	radar	4.58193	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.874	1.57425	5.15754	0.29045	0.247834	lidar	1.93972	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1362	1.62757	5.16899	0.2894	0.228238	radar	1.70023	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4138	1.6634	5.18752	0.277307	0.195214	lidar	1.76097	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6492	1.7277	5.16391	0.286789	0.198401	radar	1.36831	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8831	1.78815	5.14885	0.2915	0.191918	lidar	0.648349	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1333	1.8788	5.16452	0.306689	0.19676	radar	0.970193	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.38	1.90024	5.14969	0.287619	0.158078	lidar	1.04701	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6327	1.95818	5.1596	0.284785	0.1406	radar	0.873751	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8336	2.09674	5.13768	0.330598	0.19363	lidar	3.57737	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0913	2.19848	5.17163	0.342423	0.189588	radar	3.34801	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2939	2.34233	5.15365	0.385392	0.235215	lidar	2.60891	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4798	2.50542	5.11181	0.443906	0.309062	radar	10.9712	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7263	2.61169	5.12487	0.454045	0.301323	lidar	0.622434	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.946	2.73239	5.11552	0.475986	0.313652	radar	0.28252	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1713	2.87925	5.12599	0.505022	0.33076	lidar	0.321176	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4174	2.98015	5.14718	0.498231	0.288881	radar	1.5761	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6299	3.05222	5.11435	0.491212	0.262696	lidar	2.61921	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.856	3.19898	5.13626	0.510384	0.2626	radar	3.80576	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0575	3.38876	5.14784	0.55662	0.305482	lidar	1.02232	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.267	3.55698	5.15129	0.590924	0.335253	radar	2.33699	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.476	3.73924	5.1673	0.624721	0.356492	lidar	0.603869	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6893	3.8727	5.16235	0.632212	0.342362	radar	0.999065	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9106	4.01214	5.166	0.639409	0.329197	lidar	0.255386	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1062	4.18286	5.15722	0.672828	0.363326	radar	1.67687	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3017	4.37319	5.17016	0.703526	0.378588	lidar	0.352034	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5116	4.53339	5.17797	0.712824	0.36254	radar	0.702153	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6914	4.70388	5.16752	0.73482	0.368341	lidar	0.43698	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8419	4.91724	5.14698	0.797766	0.454009	radar	4.58709	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0057	5.13572	5.15886	0.836491	0.47356	lidar	0.371441	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1745	5.31781	5.14745	0.860979	0.481959	radar	1.8573	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3376	5.49778	5.13447	0.879865	0.476598	lidar	0.32728	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4913	5.68463	5.11683	0.908406	0.493992	radar	3.53909	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.693	5.80877	5.08789	0.8922	0.445534	lidar	2.72535	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8294	6.02406	5.08031	0.93747	0.491853	radar	1.26607	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0091	6.20281	5.07799	0.94269	0.467793	lidar	0.866484	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1537	6.41814	5.08294	0.970124	0.473711	radar	0.512438	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2774	6.64341	5.08482	1.00386	0.486077	lidar	0.237501	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4045	6.86603	5.08525	1.03572	0.500505	radar	0.177617	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5596	7.01007	5.03761	1.03034	0.467332	lidar	3.61228	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7064	7.2194	5.04408	1.03734	0.435528	radar	0.525504	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
